Teams,M,W,L,T,N/R,PT,NRR,Series Form,Next,For,Against
Gujarat Titans,8,6,2,0,0,12,1.104,WWLWW,"vs RR, SRH, MI",1550/153.5,1431/159.3
Delhi Capitals,8,6,2,0,0,12,0.657,WLWLW,"vs RCB, KKR, SRH",1474/151.1,1449/159.2
Mumbai Indians,9,5,4,0,0,10,0.673,LWWWW,"vs LSG, RR, GT",1530/162.2,1568/179.1
Royal Challengers Bengaluru,8,5,3,0,0,10,0.472,WLWLW,"vs RR, DC, CSK",1355/146.4,1296/147.5
Punjab Kings,8,5,3,0,0,10,0.177,WLWWL,"vs KKR, CSK, LSG",1405/148.3,1405/151.2
Lucknow Super Giants,9,5,4,0,0,10,-0.054,WWLWL,"vs MI, PBKS, RCB",1705/175.4,1690/173.1
Kolkata Knight Riders,8,3,5,0,0,6,0.212,WLWLL,"vs PBKS, DC, RR",1238/147.4,1219/149.1
Rajasthan Royals,8,2,6,0,0,4,-0.633,WLLLL,"vs RCB, GT, MI",1478/160.0,1530/155.0
Sunrisers Hyderabad,8,2,6,0,0,4,-1.361,LLWLL,"vs CSK, GT, DC",1463/158.3,1511/142.4
Chennai Super Kings,8,2,6,0,0,4,-1.392,LLLWL,"vs SRH, PBKS, RCB",1286/158.4,1385/145.5
