Teams,M,W,L,T,N/R,PT,NRR,Series Form,Next,For,Against
Gujarat Titans,11,8,3,0,0,16,0.793,WWLWW,"vs DC, LSG, CSK",2130/212.5,1975/214.2
Royal Challengers Bengaluru,11,8,3,0,0,16,0.482,LWWWW,"vs LSG, SRH, KKR",1938/205.1,1863/207.5
Punjab Kings,11,7,3,0,1,15,0.376,LNRWWNR,"vs MI, RR",1835/188.1,1794/191.2
Mumbai Indians,12,7,5,0,0,14,1.156,WWWWL,"vs PBKS, DC",2108/221.2,1993/238.1
Delhi Capitals,11,6,4,0,1,13,0.362,WLLNRNR,"vs GT, MI",1826/191.1,1818/197.5
Kolkata Knight Riders,12,5,6,0,1,11,0.193,LNRWWL,"vs SRH, RCB",1827/207.4,1797/208.5
Lucknow Super Giants,11,5,6,0,0,10,-0.469,LWLLL,"vs RCB, GT, SRH",2065/215.4,2141/213.1
Sunrisers Hyderabad,11,3,7,0,1,7,-1.192,LLWLNR,"vs KKR, RCB, LSG",1804/197.1,1889/182.4
Rajasthan Royals,12,3,9,0,0,6,-0.718,LLWLL,"vs CSK, PBKS",2206/235.5,2367/235.0
Chennai Super Kings,12,3,9,0,0,6,-0.992,LLLLW,"vs RR, GT",2024/238.2,2126/224.1
