Teams,M,W,L,T,N/R,PT,NRR,Series Form,Next,For,Against
Mumbai Indians,11,7,4,0,0,14,1.274,WWWWW,"vs GT, PBKS, DC",1962/202.2,1846/219.1
Gujarat Titans,10,7,3,0,0,14,0.867,LWWLW,"vs MI, DC, LSG",1983/193.5,1829/195.2
Royal Challengers Bengaluru,10,7,3,0,0,14,0.521,WLWWW,"vs CSK, LSG, SRH",1725/185.1,1652/187.5
Punjab Kings,10,6,3,0,1,13,0.199,WWLNRW,"vs LSG, DC, MI",1599/168.1,1595/171.2
Delhi Capitals,10,6,4,0,0,12,0.362,WLWLL,"vs SRH, PBKS, GT",1826/191.1,1818/197.5
Lucknow Super Giants,10,5,5,0,0,10,-0.325,WLWLL,"vs PBKS, RCB, GT",1866/195.4,1905/193.1
Kolkata Knight Riders,10,4,5,0,1,9,0.271,WLLNRW,"vs RR, CSK, SRH",1442/167.4,1409/169.1
Rajasthan Royals,11,3,8,0,0,6,-0.780,LLLWL,"vs KKR, CSK, PBKS",2001/215.5,2161/215.0
Sunrisers Hyderabad,10,3,7,0,0,6,-1.192,WLLWL,"vs DC, KKR, RCB",1804/197.1,1889/182.4
Chennai Super Kings,10,2,8,0,0,4,-1.211,LWLLL,"vs RCB, KKR, RR",1630/198.4,1734/184.1
