Teams,M,W,L,T,N/R,PT,NRR,Series Form,Next,For,Against
Sunrisers Hyderabad,1,1,0,0,0,2,2.200,W,"vs LSG, DC, KKR",286/20.0,242/20.0
Royal Challengers Bengaluru,1,1,0,0,0,2,2.137,W,"vs CSK, GT, MI",177/16.2,174/20.0
Punjab Kings,1,1,0,0,0,2,0.550,W,"vs LSG, RR, CSK",243/20.0,232/20.0
Chennai Super Kings,1,1,0,0,0,2,0.493,W,"vs RCB, RR, DC",158/19.1,155/20.0
Delhi Capitals,1,1,0,0,0,2,0.371,W,"vs SRH, CSK, RCB",211/19.3,209/20.0
Lucknow Super Giants,1,0,1,0,0,0,-0.371,L,"vs SRH, PBKS, MI",209/20.0,211/19.3
Mumbai Indians,1,0,1,0,0,0,-0.493,L,"vs GT, KKR, LSG",155/20.0,158/19.1
Gujarat Titans,1,0,1,0,0,0,-0.550,L,"vs MI, RCB, SRH",232/20.0,243/20.0
Kolkata Knight Riders,1,0,1,0,0,0,-2.137,L,"vs RR, MI, SRH",174/20.0,177/16.2
Rajasthan Royals,1,0,1,0,0,0,-2.200,L,"vs KKR, CSK, PBKS",242/20.0,286/20.0
