Teams,M,W,L,T,N/R,PT,NRR,Series Form,Next,For,Against
Gujarat Titans,5,4,1,0,0,8,1.413,LWWWW,"vs LSG, DC, KKR",968/94.3,883/100.0
Delhi Capitals,3,3,0,0,0,6,1.257,WWW,"vs RCB, MI, RR",560/55.3,530/60.0
Royal Challengers Bengaluru,4,3,1,0,0,6,1.015,WWLW,"vs DC, RR, PBKS",763/76.2,699/77.5
Punjab Kings,4,3,1,0,0,6,0.289,WWLW,"vs SRH, KKR, RCB",794/76.2,809/80.0
Lucknow Super Giants,5,3,2,0,0,6,0.078,LWLWW,"vs GT, CSK, RR",1014/96.1,1003/95.5
Kolkata Knight Riders,5,2,3,0,0,4,-0.056,LWLWL,"vs CSK, PBKS, GT",877/97.3,807/89.1
Rajasthan Royals,5,2,3,0,0,4,-0.733,LLWWL,"vs RCB, DC, LSG",939/100.0,987/97.3
Mumbai Indians,5,1,4,0,0,2,-0.010,LLWLL,"vs DC, SRH, CSK",836/92.5,894/99.1
Chennai Super Kings,5,1,4,0,0,2,-0.889,WLLLL,"vs KKR, LSG, MI",839/99.1,935/100.0
Sunrisers Hyderabad,5,1,4,0,0,2,-1.629,WLLLL,"vs PBKS, MI, MI",911/100.0,954/88.5
