Teams,M,W,L,T,N/R,PT,NRR,Series Form,Next,For,Against
Delhi Capitals,3,3,0,0,0,6,1.257,WWW,"vs RCB, MI, RR",560/55.3,530/60.0
Gujarat Titans,4,3,1,0,0,6,1.031,LWWW,"vs RR, LSG, DC",751/74.3,724/80.0
Royal Challengers Bengaluru,3,2,1,0,0,4,1.149,WWL,"vs MI, DC, RR",542/56.2,490/57.5
Punjab Kings,3,2,1,0,0,4,0.074,WWL,"vs CSK, SRH, KKR",575/56.2,608/60.0
Kolkata Knight Riders,4,2,2,0,0,4,0.070,LWLW,"vs LSG, CSK, PBKS",643/77.3,569/69.1
Lucknow Super Giants,4,2,2,0,0,4,0.048,LWLW,"vs KKR, GT, CSK",776/76.1,769/75.5
Rajasthan Royals,4,2,2,0,0,4,-0.185,LLWW,"vs GT, RCB, DC",780/80.0,770/77.3
Mumbai Indians,4,1,3,0,0,2,0.108,LLWL,"vs RCB, DC, SRH",627/72.5,673/79.1
Chennai Super Kings,4,1,3,0,0,2,-0.891,WLLL,"vs PBKS, KKR, LSG",638/79.1,716/80.0
Sunrisers Hyderabad,5,1,4,0,0,2,-1.629,WLLLL,"vs PBKS, MI, MI",911/100.0,954/88.5
